Layer,Shape,Min,Max,Mean,Std
stage_1_downsample_rgb,64x120x160,-1.5525,1.9007,0.0218,0.4033
stage_1_downsample_depth,32x120x160,-0.4305,0.4228,-0.0187,0.1349
stage_1_block_1_attn_rgb,120x160x64,-0.2684,0.2918,0.0030,0.0774
stage_1_block_1_attn_depth,120x160x32,-0.2628,0.2746,-0.0029,0.0784
stage_1_block_1_mlp_rgb,120x160x64,-1.0199,0.8616,-0.0482,0.2750
stage_1_block_1_mlp_depth,120x160x32,-0.6779,0.5960,0.0255,0.2570
stage_1_block_2_attn_rgb,120x160x64,-0.3425,0.2922,-0.0101,0.0870
stage_1_block_2_attn_depth,120x160x32,-0.3959,0.3556,-0.0158,0.1044
stage_1_block_2_mlp_rgb,120x160x64,-1.0523,1.0144,-0.0390,0.2572
stage_1_block_2_mlp_depth,120x160x32,-0.9617,0.8167,-0.1037,0.3426
stage_1_block_3_attn_rgb,120x160x64,-0.3077,0.3076,0.0052,0.0742
stage_1_block_3_attn_depth,120x160x32,-0.3335,0.3052,-0.0031,0.0934
stage_1_block_3_mlp_rgb,120x160x64,-1.1397,1.0630,0.0002,0.2704
stage_1_block_3_mlp_depth,120x160x32,-0.6093,0.6309,0.0229,0.2414
stage_2_downsample_rgb,128x60x80,-1.1078,1.0067,-0.0105,0.2331
stage_2_downsample_depth,64x60x80,-0.2601,0.2900,-0.0016,0.0852
stage_2_block_1_attn_rgb,60x80x128,-0.2731,0.2504,-0.0040,0.0642
stage_2_block_1_attn_depth,60x80x64,-0.2924,0.2623,0.0073,0.0654
stage_2_block_1_mlp_rgb,60x80x128,-1.1606,0.9750,0.0049,0.2570
stage_2_block_1_mlp_depth,60x80x64,-0.6866,0.6683,-0.0024,0.2170
stage_2_block_2_attn_rgb,60x80x128,-0.2929,0.2786,-0.0036,0.0724
stage_2_block_2_attn_depth,60x80x64,-0.3083,0.2574,0.0033,0.0728
stage_2_block_2_mlp_rgb,60x80x128,-1.1095,0.9317,0.0042,0.2368
stage_2_block_2_mlp_depth,60x80x64,-0.8188,0.7468,0.0203,0.2566
stage_2_block_3_attn_rgb,60x80x128,-0.2990,0.2836,-0.0002,0.0746
stage_2_block_3_attn_depth,60x80x64,-0.2469,0.2444,-0.0069,0.0732
stage_2_block_3_mlp_rgb,60x80x128,-1.1108,0.9931,-0.0007,0.2479
stage_2_block_3_mlp_depth,60x80x64,-0.9145,0.6661,-0.0115,0.2315
stage_3_downsample_rgb,256x30x40,-0.7593,0.8147,-0.0024,0.1371
stage_3_downsample_depth,128x30x40,-0.2392,0.1860,-0.0012,0.0550
stage_3_block_1_attn_rgb,30x40x256,-0.2526,0.2636,-0.0004,0.0674
stage_3_block_1_attn_depth,30x40x128,-0.2927,0.2244,-0.0093,0.0671
stage_3_block_1_mlp_rgb,30x40x256,-0.9943,1.1515,0.0012,0.2648
stage_3_block_1_mlp_depth,30x40x128,-0.7257,0.7755,-0.0187,0.2772
stage_3_block_2_attn_rgb,30x40x256,-0.2684,0.2845,0.0011,0.0610
stage_3_block_2_attn_depth,30x40x128,-0.2180,0.2762,0.0033,0.0623
stage_3_block_2_mlp_rgb,30x40x256,-1.0769,0.9933,0.0027,0.2535
stage_3_block_2_mlp_depth,30x40x128,-0.8169,0.8439,0.0187,0.2826
stage_3_block_3_attn_rgb,30x40x256,-0.2457,0.2409,-0.0042,0.0590
stage_3_block_3_attn_depth,30x40x128,-0.2388,0.2194,-0.0095,0.0635
stage_3_block_3_mlp_rgb,30x40x256,-1.0602,1.1330,-0.0136,0.2546
stage_3_block_3_mlp_depth,30x40x128,-0.7668,0.8974,-0.0013,0.2667
stage_3_block_4_attn_rgb,30x40x256,-0.2475,0.2652,-0.0002,0.0641
stage_3_block_4_attn_depth,30x40x128,-0.2407,0.2752,0.0006,0.0634
stage_3_block_4_mlp_rgb,30x40x256,-1.0558,1.0304,-0.0090,0.2517
stage_3_block_4_mlp_depth,30x40x128,-0.7211,0.8591,0.0066,0.2302
